# t (s)	mx ()	my ()	mz ()	E_total (J)
5.952048095108479e-12	-3.7536623e-09	2.175331e-09	0.9960294	1.166379e-18
6.0006505032242016e-12	-3.7441255e-09	2.3088456e-09	0.9960294	1.165695e-18
6.051540944366604e-12	-3.7841796e-09	2.413273e-09	0.9960294	1.1648912e-18
6.100398094443523e-12	-3.8051606e-09	2.5310516e-09	0.9960294	1.1643899e-18
6.152301380264385e-12	-3.8363934e-09	2.6464462e-09	0.99602944	1.1642931e-18
6.201980107299143e-12	-3.8986205e-09	2.723694e-09	0.9960294	1.1643894e-18
6.2520286528075495e-12	-3.9844514e-09	2.7742386e-09	0.9960294	1.1647869e-18
6.300182189459308e-12	-4.1427612e-09	2.8553009e-09	0.9960294	1.165705e-18
6.350696061477359e-12	-4.3334962e-09	2.938509e-09	0.9960294	1.1665206e-18
6.40126459039149e-12	-4.512787e-09	3.0355454e-09	0.9960294	1.1673974e-18
6.451656025447033e-12	-4.611015e-09	3.1070708e-09	0.9960293	1.1681193e-18
6.5019375758753775e-12	-4.650116e-09	3.0593872e-09	0.9960293	1.168748e-18
6.551494944149359e-12	-4.5890807e-09	3.036499e-09	0.9960293	1.1687628e-18
6.600434799788574e-12	-4.5280455e-09	2.9239655e-09	0.9960294	1.1683039e-18
6.6515169583478116e-12	-4.4002535e-09	2.8533935e-09	0.9960293	1.1676119e-18
6.7022824524131445e-12	-4.266739e-09	2.8886795e-09	0.9960293	1.166721e-18
6.750135086236694e-12	-4.1542054e-09	2.968788e-09	0.9960294	1.1655841e-18
6.8019052857207896e-12	-4.0893555e-09	3.138542e-09	0.9960294	1.1639061e-18
6.850516132331919e-12	-4.0836334e-09	3.3216476e-09	0.9960294	1.1619824e-18
6.9008035218091575e-12	-4.152298e-09	3.5295487e-09	0.99602944	1.1597865e-18
6.9505332225152756e-12	-4.257202e-09	3.6518575e-09	0.9960294	1.1574794e-18
7.001918133059121e-12	-4.3497086e-09	3.745079e-09	0.9960295	1.1549815e-18
7.05050195619462e-12	-4.436493e-09	3.7384034e-09	0.9960295	1.1525465e-18
7.100860826721405e-12	-4.507065e-09	3.6725998e-09	0.99602956	1.1500068e-18
7.1511487352951165e-12	-4.518509e-09	3.5820007e-09	0.99602956	1.1475517e-18
7.201786685848674e-12	-4.590988e-09	3.4635066e-09	0.9960296	1.1452534e-18
7.251033260685991e-12	-4.577637e-09	3.2806395e-09	0.99602973	1.1432947e-18
7.301791841655692e-12	-4.5757296e-09	3.170967e-09	0.9960297	1.1417782e-18
7.350133464167858e-12	-4.59671e-09	3.0527114e-09	0.9960297	1.1412215e-18
7.40234362648229e-12	-4.5890807e-09	3.0078888e-09	0.9960297	1.141333e-18
7.450254273525054e-12	-4.621506e-09	2.9306413e-09	0.99602973	1.141836e-18
7.500721669468621e-12	-4.6443938e-09	2.8247833e-09	0.99602973	1.1423921e-18
7.550569658750501e-12	-4.6634674e-09	2.6931763e-09	0.99602973	1.1425746e-18
7.600129642287557e-12	-4.7035216e-09	2.6397704e-09	0.99602973	1.1425941e-18
7.650044423814181e-12	-4.7492983e-09	2.5463105e-09	0.99602973	1.1428174e-18
7.70048671643106e-12	-4.7836304e-09	2.4166107e-09	0.9960297	1.14337e-18
7.751259354016882e-12	-4.7492983e-09	2.336502e-09	0.99602973	1.1441513e-18
7.802466534670665e-12	-4.7893525e-09	2.289772e-09	0.99602973	1.1452634e-18
7.85139678979469e-12	-4.852295e-09	2.2025108e-09	0.9960297	1.1465646e-18
7.900515391124383e-12	-4.8694613e-09	2.155304e-09	0.9960297	1.1480551e-18
7.952550182896006e-12	-4.8561097e-09	2.1724702e-09	0.9960297	1.149968e-18
8.002389156278266e-12	-4.9343107e-09	2.2771358e-09	0.9960296	1.1522452e-18
8.05246199863212e-12	-4.942894e-09	2.5320053e-09	0.9960296	1.1548603e-18
8.101735511762699e-12	-4.91333e-09	2.8333664e-09	0.99602956	1.1567224e-18
8.150232745321417e-12	-4.9409867e-09	3.1588077e-09	0.9960295	1.1578811e-18
8.200749047792593e-12	-4.97818e-09	3.3626557e-09	0.99602956	1.1586542e-18
8.250721265372898e-12	-5.0296785e-09	3.499031e-09	0.99602956	1.1589973e-18
