run,signal,frequency_ghz,power
Bx,mx,561.8531139534421,7.504130569393787e-18
Bx,mx,563.8962161860001,5.0813960377106145e-18
Bx,mx,565.9393184185581,1.8195884431762388e-17
Bx,mx,567.9824206511161,1.7262638852395592e-17
Bx,mx,570.025522883674,1.9860105997142786e-18
Bx,mx,572.0686251162319,7.463368317666216e-18
Bx,mx,574.1117273487898,1.5573535249383206e-17
Bx,mx,576.1548295813478,2.2146244107582878e-17
Bx,mx,578.1979318139058,6.263883228327363e-18
Bx,mx,580.2410340464638,3.097793083212912e-18
Bx,mx,582.2841362790217,2.16360660007595e-18
Bx,mx,584.3272385115797,3.239323674351424e-18
Bx,mx,586.3703407441377,1.1821038027679946e-17
Bx,mx,588.4134429766957,2.787159019471148e-18
Bx,mx,590.4565452092537,4.456297246378852e-18
Bx,mx,592.4996474418117,1.7019713796224716e-17
Bx,mx,594.5427496743696,1.501828485596478e-17
Bx,mx,596.5858519069275,4.8654363911068596e-18
Bx,mx,598.6289541394855,2.1734402701828745e-18
Bx,mx,600.6720563720435,1.809931682406779e-18
Bx,mx,602.7151586046015,1.5110879001787027e-17
Bx,mx,604.7582608371595,1.2402827977538975e-17
Bx,mx,606.8013630697175,8.547419353616783e-18
Bx,mx,608.8444653022755,5.541932483180319e-18
Bx,mx,610.8875675348335,7.047558981980443e-18
Bx,mx,612.9306697673914,1.1968648079316398e-17
Bx,mx,614.9737719999492,1.494624915171878e-17
Bx,mx,617.0168742325072,3.1182126177294664e-18
Bx,mx,619.0599764650652,6.132997234295683e-18
Bx,mx,621.1030786976232,9.319337830931275e-18
Bx,mx,623.1461809301812,2.336297035351217e-18
Bx,mx,625.1892831627392,1.9304237510409325e-18
Bx,mx,627.2323853952971,2.1130632570908377e-19
Bx,mx,629.2754876278551,2.009534053473838e-20
Bx,mx,631.3185898604131,3.1785270471145394e-19
Bx,mx,633.3616920929711,4.927752566446909e-19
Bx,mx,635.404794325529,7.955311379957674e-19
Bx,mx,637.447896558087,2.4367565806389276e-18
Bx,mx,639.4909987906449,8.354454054507616e-19
Bx,mx,641.5341010232029,1.3002572445204474e-18
Bx,mx,643.5772032557609,2.2508283972522953e-18
Bx,mx,645.6203054883189,1.4161199373009275e-18
Bx,mx,647.6634077208769,7.986684641390643e-19
Bx,mx,649.7065099534349,2.1049050553223008e-18
Bx,mx,651.7496121859929,5.224125287454991e-18
Bx,mx,653.7927144185509,8.042352939051677e-18
Bx,mx,655.8358166511086,2.874063111788168e-18
Bx,mx,657.8789188836666,2.7869821562596856e-17
Bx,mx,659.9220211162246,1.340825843458936e-16
Bx,mx,661.9651233487826,2.5797863865754974e-16
Bx,mx,664.0082255813406,1.9427744327132378e-16
Bx,mx,666.0513278138986,8.375081772496417e-17
Bx,mx,668.0944300464566,6.095134955739683e-17
Bx,mx,670.1375322790145,8.429102945925083e-18
Bx,mx,672.1806345115725,1.9200835352838193e-17
Bx,mx,674.2237367441304,2.412449017321982e-17
Bx,mx,676.2668389766884,2.1713719985642172e-17
Bx,mx,678.3099412092464,1.4047223053590708e-17
Bx,mx,680.3530434418044,7.772972344086556e-18
Bx,mx,682.3961456743624,2.5560076322805478e-17
Bx,mx,684.4392479069203,3.219297134082697e-17
Bx,mx,686.4823501394783,1.728051558622678e-17
Bx,mx,688.5254523720363,3.489260596422821e-18
Bx,mx,690.5685546045943,4.549818378088078e-18
Bx,mx,692.6116568371523,4.510121305927682e-18
Bx,mx,694.6547590697102,3.984544788295404e-18
Bx,mx,696.6978613022682,1.9243794781481403e-18
Bx,mx,698.740963534826,2.4615870486036963e-17
Bx,mx,700.784065767384,1.8112792697663974e-17
Bx,mx,702.827167999942,3.5007603951929e-18
Bx,mx,704.8702702325,3.897059633803196e-18
Bx,mx,706.913372465058,1.4651478519787847e-17
Bx,mx,708.956474697616,4.775259709135366e-18
Bx,mx,710.999576930174,7.184482468221513e-18
Bx,mx,713.0426791627319,1.4132503910026542e-17
Bx,mx,715.0857813952898,2.9811609771345205e-18
Bx,mx,717.1288836278478,2.014174134380924e-18
Bx,mx,719.1719858604058,8.261180008032338e-18
Bx,mx,721.2150880929638,1.6896029357641536e-17
Bx,mx,723.2581903255218,6.931831046014947e-18
Bx,mx,725.3012925580798,4.1822642146414945e-19
Bx,mx,727.3443947906377,6.791101399797382e-18
Bx,mx,729.3874970231957,6.137260118701768e-18
Bx,mx,731.4305992557537,3.777232497791961e-18
Bx,mx,733.4737014883117,1.3401654142426602e-17
Bx,mx,735.5168037208696,5.8610200738625435e-18
Bx,mx,737.5599059534276,6.689922224500917e-19
Bx,mx,739.6030081859856,5.90047120704657e-19
Bx,mx,741.6461104185435,1.0974915478040753e-18
Bx,mx,743.6892126511015,4.371409779388332e-18
Bx,mx,745.7323148836595,2.443450346008481e-18
Bx,mx,747.7754171162175,8.650654064584757e-19
