# t (s)	mx ()	my ()	mz ()	E_total (J)
6.752230165690782e-12	-1.7166138e-10	-6.885529e-10	0.9960266	1.3314063e-18
6.801159037670387e-12	-2.2888183e-10	-6.799698e-10	0.9960264	1.3380617e-18
6.850588261117132e-12	-1.7738343e-10	-7.047653e-10	0.9960263	1.3468275e-18
6.9023265510729895e-12	-1.7929078e-10	-7.0762635e-10	0.9960261	1.3552028e-18
6.951041693436607e-12	-1.6593933e-10	-7.104874e-10	0.99602604	1.3616766e-18
7.001947592386348e-12	-1.8882751e-10	-7.333755e-10	0.9960259	1.3672567e-18
7.052488737451399e-12	-1.7738343e-10	-7.4577333e-10	0.9960258	1.371626e-18
7.1024173955916036e-12	-1.5830993e-10	-7.343292e-10	0.9960258	1.3739972e-18
7.151895513075422e-12	-1.6307831e-10	-7.4768064e-10	0.9960259	1.3749872e-18
7.201041899015208e-12	-1.4686584e-10	-7.486343e-10	0.996026	1.3750189e-18
7.252272533927389e-12	-1.2969971e-10	-7.46727e-10	0.996026	1.3740382e-18
7.300839563700158e-12	-1.1062622e-10	-7.2836875e-10	0.99602604	1.3725297e-18
7.351845644138706e-12	-1.0585785e-10	-7.596016e-10	0.9960261	1.3709822e-18
7.400581461310308e-12	-8.964539e-11	-7.6770784e-10	0.99602616	1.369918e-18
7.452060892593513e-12	-1.3160706e-10	-7.867813e-10	0.9960261	1.3696141e-18
7.501345636681728e-12	-9.918213e-11	-7.7533724e-10	0.9960261	1.3700332e-18
7.550592562195425e-12	-8.964539e-11	-7.748604e-10	0.99602604	1.3703504e-18
7.60191510017977e-12	-7.534027e-11	-7.6293943e-10	0.9960261	1.3696259e-18
7.650677961226608e-12	-8.773804e-11	-7.686615e-10	0.9960261	1.3686362e-18
7.701681945914697e-12	-1.16348264e-10	-7.572174e-10	0.9960261	1.3671038e-18
7.750005336043795e-12	-1.3065338e-10	-7.429123e-10	0.99602616	1.3650474e-18
7.800503207073486e-12	-1.06811525e-10	-7.572174e-10	0.9960261	1.3623543e-18
7.850744890912892e-12	-1.3923646e-10	-7.171631e-10	0.9960261	1.3591368e-18
7.900872093596757e-12	-1.7547608e-10	-7.5531004e-10	0.9960263	1.3557199e-18
7.951092164596535e-12	-1.373291e-10	-7.6293943e-10	0.99602634	1.3525356e-18
8.001604542223803e-12	-1.5640259e-10	-7.93457e-10	0.99602634	1.349998e-18
8.052039298081263e-12	-9.155274e-11	-7.715225e-10	0.9960264	1.3473214e-18
8.102251302615426e-12	-8.392334e-11	-7.0405004e-10	0.99602646	1.344222e-18
8.152316111055611e-12	-7.820129e-11	-7.0333483e-10	0.9960266	1.3408757e-18
8.202109864718047e-12	-7.4386594e-11	-6.5279004e-10	0.99602664	1.3370788e-18
8.251572300104729e-12	-1.3160706e-10	-6.875992e-10	0.9960267	1.3327757e-18
8.300845652737719e-12	-1.08718874e-10	-7.138252e-10	0.9960267	1.3282463e-18
8.35009970503344e-12	-1.4495849e-10	-7.2574613e-10	0.9960268	1.3237717e-18
8.401819335399889e-12	-1.3542176e-10	-7.5912476e-10	0.9960269	1.319357e-18
8.451267571951711e-12	-1.001358e-10	-7.2193146e-10	0.9960269	1.3153408e-18
8.500760794424805e-12	-1.7166138e-10	-7.1430206e-10	0.9960269	1.3114628e-18
8.550367076131843e-12	-1.7738343e-10	-7.5340273e-10	0.996027	1.3078206e-18
8.600064657470165e-12	-1.4877319e-10	-7.944107e-10	0.99602705	1.3043764e-18
8.652240266961498e-12	-1.6784668e-10	-7.70092e-10	0.9960271	1.3009946e-18
8.702167138838573e-12	-2.2888183e-10	-7.9059603e-10	0.9960272	1.2980038e-18
8.752127683915328e-12	-2.231598e-10	-8.2969664e-10	0.9960271	1.295108e-18
8.802203054387707e-12	-1.8310548e-10	-8.6784363e-10	0.9960272	1.2924277e-18
8.850122970894545e-12	-1.3938546e-10	-8.430481e-10	0.99602723	1.2902632e-18
8.900500366585544e-12	-1.411438e-10	-8.478165e-10	0.99602723	1.2881119e-18
8.950714019482395e-12	-1.4877319e-10	-8.5639956e-10	0.9960273	1.2857324e-18
9.000698840864568e-12	-1.6784668e-10	-8.3494184e-10	0.9960273	1.2830445e-18
9.050572804884694e-12	-1.6212463e-10	-8.716583e-10	0.99602735	1.2802372e-18
9.100480363179238e-12	-1.411438e-10	-8.6688995e-10	0.9960274	1.2775159e-18
9.150463277639838e-12	-1.8119813e-10	-8.831024e-10	0.9960274	1.2749368e-18
9.20050088870002e-12	-1.6212463e-10	-8.907318e-10	0.9960276	1.2724672e-18
9.250683265582295e-12	-1.4495849e-10	-9.1838837e-10	0.99602765	1.2702304e-18
9.301100625413045e-12	-1.3160706e-10	-8.966923e-10	0.9960276	1.2683524e-18
